ふりがな,名称,所在地又は代表地番,latitude,longitude,公園種別
うめのきぱーく,梅ノ木パーク,梅ノ木3丁目27-1,34.775784,135.412975,街区公園
てらもとひがしこうえん,寺本東公園,寺本4丁目63番3,34.77775,135.390636,街区公園
いけじりひがしこうえん,池尻東公園,池尻3丁目57-7,34.782073,135.383951,街区公園
にしのきたこうえん,西野北公園,西野3丁目102,34.79244,135.37369,街区公園
ひがしのこうえん,東野公園,東野1丁目76-11,34.799605,135.402595,街区公園
みなみのみやのまえこうえん,南野宮ノ前公園,南野4丁目15,34.767485,135.404396,街区公園
あらまきだいさんこうえん,荒牧第三公園,荒牧3丁目16-42,34.810706,135.377948,街区公園
こしがいゆめのみちこうえん,越ケ井夢の道公園,下河原2丁目369-7,34.798575,135.426168,街区公園
せんぞこうえん,千僧公園,千僧2丁目157-1,34.784068,135.403218,街区公園
しんいたみこうえん,新伊丹公園,御願塚1丁目80-1,34.77236,135.411752,街区公園
わかびしこうえん,若菱公園,若菱町2丁目2番,34.761284,135.415154,街区公園
どばしこうえん,土橋公園,荒牧南2丁目20,34.805026,135.380391,街区公園
あぜみちこうえん,あぜみち公園,荒牧2丁目5番街区,34.808408,135.377209,街区公園
こうのいけだいさんこうえん,鴻池第三公園,鴻池4丁目5-13,34.800094,135.391169,街区公園
せんぞこしづかこうえん,千僧越塚公園,千僧5丁目196,34.782524,135.405444,街区公園
こうのいけだいいちこうえん,鴻池第一公園,鴻池6丁目31-1,34.79986,135.382313,街区公園
こうのいけだいにこうえん,鴻池第二公園,鴻池3丁目8,34.797413,135.386394,街区公園
いけじりきたこうえん,池尻北公園,池尻4丁目1,34.785784,135.383191,街区公園
いけじりこうえん,池尻公園,池尻4丁目1番15号,34.784112,135.380278,街区公園
こやひがしこうえん,昆陽東公園,昆陽東１丁目２５番６,34.779534,135.40627,街区公園
みずがおかこうえん,瑞ケ丘公園,瑞ケ丘1丁目1,34.792006,135.399871,近隣公園
かみつこうえん,神津公園,森本6丁目73,34.777875,135.430849,近隣公園
にしくわづこうえん,西桑津公園,桑津3丁目1,34.783193,135.43247,近隣公園
いなのこうえん,稲野公園,稲野町2丁目3-2,34.763209,135.417764,近隣公園
あらまきばらこうえん,荒牧バラ公園,荒牧6丁目5-50,34.811851,135.386318,近隣公園
じゅうろくなこうえん,十六名公園,西野1丁目312-1,34.786073,135.378466,近隣公園
しもがわらりょくち,下河原緑地,下河原3丁目3-2,34.797919,135.429323,近隣公園
こやみなみこうえん,昆陽南公園,山田1丁目177 ,34.774186,135.391616,近隣公園
ささはらこうえん,笹原公園,車塚1丁目32-1,34.764717,135.399415,近隣公園
みどりがおかこうえん,緑ケ丘公園,緑ケ丘1丁目50,34.794198,135.408389,地区公園
にしいなこうえん,西猪名公園,川西市久代6-30-1,34.80105,135.418204,地区公園
こやいけこうえん,昆陽池公園,昆陽池3丁目1,34.788222,135.395253,総合公園
ずがいけこうえん,瑞ケ池公園,瑞ケ丘5丁目1,34.795066,135.398088,風致公園
いながわかせんじきりょくち,猪名川河川敷緑地,下河原字西ノ倉,34.800361,135.424872,都市緑地
むこがわかせんじきりょくち,武庫川河川敷緑地,西野7丁目2番,34.782892,135.373351,都市緑地
いたみりょくち,伊丹緑地,春日丘6丁目,34.791207,135.416532,都市緑地
